Route,Density,Durations
m60-m62,100,75.7;82.5;68.9
m60-m62,200,62.7;74.5;66.1;67.1;65.7;68.0;67.8;67.4;70.3;62.2
m60-m62,300,75.5;77.9;77.6;74.1;72.1;77.1;74.2;66.9;69.7;74.5;69.0
m60-m62,400,66.9;72.7;74.6;72.6;73.1;72.1;75.4;75.6;85.9;73.2;66.3;64.8
m60-m62,500,80.7;80.2;80.8;74.9;80.9;78.4;82.0;81.6;91.9;85.1;84.5;89.8;85.6;75.7;75.6;75.0;79.1;64.1;80.0;79.4;86.5;87.6;77.9
m60-m62,600,67.5;69.8;78.3;71.7;72.7;80.4;77.4;74.7;77.0;71.8;78.3;95.7;89.1;79.3;86.2;89.9;83.8;88.4;81.3;88.9;80.2;86.9;85.6;87.2;90.4;89.0;85.0;72.4;66.0
m60-m62,700,71.1;67.8;75.2;75.1;78.0;78.7;67.0;76.5;75.1;85.5;81.0;76.7;80.5;88.0;83.6;86.7;82.9;80.6;80.9;81.3;75.0;86.7;83.6;86.2;89.2;100.7;96.0;85.3;108.2;84.1
m60-m62,800,76.5;74.2;71.6;76.3;84.2;81.6;76.9;70.1;75.2;79.8;79.2;80.3;77.3;82.4;71.6;77.4;80.0;79.9;92.3;100.1;92.1;79.6;88.3;84.4;81.3;114.1;85.8;98.8;137.3
m60-m62,900,74.8;67.9;67.5;69.0;73.0;72.4;67.9;77.4;86.4;80.0;79.2;82.4;81.9;77.5;78.6;76.1;77.2;75.9;81.0;81.9;80.7;88.2;86.7;88.5;90.0;85.6;89.3;93.6;88.0;92.6;89.4;81.5;77.3;99.6;107.1;140.1;140.2;104.9;136.0;102.0;97.0;84.9;87.5
m60-m62,1000,67.2;68.7;71.8;71.7;68.4;90.4;81.9;79.5;77.2;83.0;74.4;75.8;77.6;77.0;76.3;84.7;77.8;73.3;87.3;86.0;91.4;88.6;88.0;87.4;90.6;92.3;83.2;83.5;80.7;81.4;80.2;86.2;87.2;95.5;90.0;102.5;85.9;83.3;95.1;92.3;92.2;88.2;99.1
m60-m602,100,90.1;76.2;84.6;83.6;80.2;84.0;84.8
m60-m602,200,80.4;83.7;82.7;87.7;76.5;82.4
m60-m602,300,75.7;90.5;92.7;79.9;90.3;93.5;92.3;90.4;81.9;83.1;85.7;81.4;87.2;88.2;87.4;90.2;87.8
m60-m602,400,83.4;84.0;86.5;85.3;84.4;81.2;89.3;100.1
m60-m602,500,81.0;92.7;84.7;92.7;93.0;89.8;95.5;88.5;92.7;101.3;97.8;102.5;92.4;100.9;98.2;84.1;93.1
m60-m602,600,78.1;76.2;78.9;81.4;85.9;89.0;90.6;90.4;95.0;101.8;101.3;97.9;90.5;84.6;106.0;90.4;106.0;100.2;100.5;93.6;91.0;94.2;91.4;82.8;90.4;88.8
m60-m602,700,78.2;86.5;84.5;84.2;93.7;93.7;97.1;88.3;89.6;84.0;92.9;114.8;115.7;109.4;109.3;106.9;97.4;99.3;89.5;115.1;100.0;107.6;99.0;118.7;90.5;97.6;93.3
m60-m602,800,86.2;90.3;86.3;95.7;101.0;97.2;87.6;102.8;100.9;101.2;91.2;97.2;108.7;103.3;95.4;118.2;100.5;98.7;98.1;97.6;99.5;105.1;95.4;103.3;101.4;144.8;115.4
m60-m602,900,86.7;82.6;85.5;85.7;90.9;98.3;93.7;82.1;104.2;97.0;99.5;100.3;94.0;86.2;101.2;95.2;93.0;96.3;97.1;99.8;92.6;100.0;125.4;108.6;99.9;113.7;94.2;153.9;121.6;161.2;160.4;110.8;109.3;97.9;81.1;103.8;102.4
m60-m602,1000,78.8;83.2;83.5;96.3;88.9;85.4;80.9;96.3;92.4;80.3;87.3;90.9;92.1;88.5;107.3;105.3;104.5;101.8;103.9;104.6;96.4;107.6;105.2;99.0;92.5;116.4;114.0;107.6;109.6;117.6;104.8;123.3;95.6;107.0;139.9;103.4
m60-north,100,97.6;96.9;101.5;102.5;96.0;96.1;95.3;102.6;112.9;101.9;104.0;99.4;92.4;97.6;104.7;97.3;108.3;101.6;108.2;106.1;99.5;95.7;97.2;107.7;98.6;99.4;97.4;104.1;104.5;99.3;97.9;101.4;100.1;94.6;90.2;92.9;103.3
m60-north,200,92.0;90.9;97.1;102.9;98.2;103.1;112.9;107.9;101.5;107.1;102.8;106.8;103.8;105.6;102.8;102.0;110.4;116.0;102.9;105.2;105.3;107.2;109.2;111.2;110.2;109.4;109.1;109.7;114.5;114.4;112.4;113.5;113.2;112.3;112.4;111.9;111.1;107.4;109.4;114.0;117.1;120.2;115.3;109.8;112.1;108.1;102.7;107.9;107.7;107.9;107.8;105.4;103.1;105.6;109.3;104.3;117.3;107.5;105.6;106.2;108.3;107.9;109.5;107.9;109.0;108.3;111.0;112.3;110.6;112.4;110.6;109.7;108.6;110.2;109.0;114.1;117.2;117.8;118.3;116.1;122.2
m60-north,300,95.4;95.4;103.0;102.9;108.1;107.2;105.3;103.0;104.0;112.8;107.7;110.4;108.8;110.1;108.9;109.2;109.4;113.4;114.8;115.0;116.0;119.3;123.3;124.0;123.6;123.7;121.4;124.5;125.0;125.5;125.0;128.0;120.8;135.5;128.4;131.5;135.1;134.3;136.6;135.7;136.4;135.5;138.1;136.1;138.0;138.7;137.5;135.2;135.5;137.8;138.6;134.7;135.3;130.3;133.6;135.3;134.1;134.1;137.3;140.2;143.2;138.2;134.2;142.5;141.5;138.7;138.9;147.0;140.4;148.0;145.9;140.4;138.9;146.9;147.8;145.4;141.6;147.2;142.9;142.0;143.8;137.0;141.3;144.0;141.3;142.7;146.7;143.5;141.9;149.1;143.4;141.9;148.0;146.8;143.7;142.3;141.3;144.4;148.1;140.9;140.2;144.6;146.9;139.8;137.4;140.9;144.2;149.9;149.3;146.1;144.4;148.5;146.0
