Route,Density,Durations
m60-m62,100,64.8;79.4;63.8
m60-m62,200,65.5;69.9;67.3;78.9;74.8;69.9
m60-m62,300,65.2;73.4;70.3;69.7;73.9;62.6;71.8;74.3
m60-m62,400,75.0;69.7;70.7;68.1;68.7;73.3;73.0;68.8;72.4;74.9;72.1;78.1;70.5;77.3;78.0;76.1;70.3;71.6;77.4;76.6;66.7
m60-m62,500,67.2;70.3;70.8;71.3;70.7;69.8;75.1;68.9;74.5;77.2;75.1;75.2;80.4;77.7;77.2;67.6;74.2;76.3;69.7;72.4;68.7;68.9
m60-m62,600,65.8;68.5;71.1;71.6;73.6;71.4;78.9;77.3;76.6;78.4;86.0;83.3;75.1;74.4;81.5;73.9;73.1;71.2;64.4;86.1;73.0;69.0
m60-m62,700,64.8;75.4;91.0;88.7;88.7;87.4;87.4;74.9;82.6;73.5;78.1;75.4;85.0;83.3;80.1;76.4;73.5;70.0;70.4;64.1;71.2;71.7;74.0
m60-m62,800,73.6;73.4;73.3;68.2;72.0;68.4;73.1;74.7;75.2;73.3;70.9;78.4;68.1;71.2;71.4;72.2;72.2;70.4;67.9;74.4;81.1;80.4;79.9;74.4
m60-m62,900,78.5;73.5;76.4;77.4;78.3;70.1;74.4;69.9;72.5;74.0;73.3;67.3;81.0;81.5;79.0;76.6;72.4;67.6;65.5;70.0;70.8;70.9;66.0;75.8;78.0;75.5;69.9;76.9;73.3;68.1;76.9;77.8;78.1;85.0;82.7;84.0;84.2;79.9;78.1;77.0;72.0
m60-m62,1000,72.0;70.0;71.9;76.4;71.3;75.6;79.4;69.1;69.6;71.6;72.2;69.5;82.5;71.4;73.6;74.8;77.9;87.1;86.5;83.0;82.8;76.6;78.4;83.6;81.5;80.7;78.7;78.1;74.8;76.0;78.4;75.1;68.8;70.2;72.4;75.0
m60-m602,100,90.2;83.6;90.0;76.2;84.5;82.5
m60-m602,200,95.1;84.9;82.8;83.5
m60-m602,300,79.5;80.4;78.7;86.0;83.7;75.8;81.6;92.4;90.6;82.3;85.0;87.4;85.6;85.7;77.0
m60-m602,400,85.6;82.4;92.5;88.1;88.8;85.3;82.2;79.3;94.0;91.4;85.2;90.2;78.2;97.2;93.4;90.1;78.0
m60-m602,500,95.6;95.4;92.5;86.5;85.5;87.1;82.6;81.8;87.1;86.5;90.8;85.4;84.7;86.6;84.2;80.2;86.9;93.9;93.3;91.9;88.9;87.8;81.4;83.1;82.1;87.1;86.4;84.6
