Route,Density,Durations
m60-north,100,95.7;92.7;96.2;87.4;96.2;101.5;102.6;102.8;103.8;96.8;97.4;104.7;107.8;89.8;103.3;108.6;98.4;103.9;99.6;95.9;97.1;99.0;96.5;98.6;110.5;105.7;102.8;94.5;106.7;105.8;107.6;100.2;99.3;95.3;98.2;102.5;103.2;106.4;112.5
m60-north,200,94.0;101.6;98.1;102.0;95.1;98.5;97.9;112.9;110.2;108.4;103.3;102.0;102.2;102.1;103.0;113.7;105.2;107.7;114.9;108.6;111.7;115.6;111.4;111.1;110.2;114.0;116.0;110.1;110.5;115.3;111.6;115.4;116.2;117.4;112.4;111.9;113.2;113.8;116.1;115.4;117.7;115.6;113.5;114.9;118.0;120.2;122.7;120.5;120.4;122.1;119.3;122.6;122.9;123.4;123.5;122.4;122.4;122.3;123.2;117.8;121.6;115.5;116.4;128.8;121.7;124.2;127.5;123.5;127.5;133.1;128.4;124.4;127.1;124.4;128.1;125.2;121.0;126.1;128.6;126.8;125.3;123.8;116.2;111.6;126.9;115.4;125.0;124.6;122.1;112.7
m60-north,300,95.4;101.6;105.5;102.7;100.1;103.9;104.2;102.6;112.9;108.4;106.9;106.3;110.1;108.9;111.4;109.0;111.9;114.9;115.5;118.3;120.7;122.4;123.4;123.2;122.3;120.6;121.2;126.5;128.2;126.4;124.1;131.0;130.8;131.2;129.8;131.8;135.0;132.8;132.0;131.8;133.9;139.5;132.2;138.9;140.0;136.9;139.3;141.2;136.9;142.5;142.4;141.8;138.5;140.5;145.9;141.0;144.2;149.5;145.5;143.6;140.6;144.0;149.3;146.7;151.7;145.6;145.8;154.6;149.3;142.6;148.6;148.0;155.9;151.6;144.6;148.8;150.8;158.2;156.6;148.5;158.8;147.8;150.2;157.8;148.7;146.8;150.7;157.4;156.8;144.9;156.0;149.2;148.7;157.2;153.6;152.7;152.9;157.1;145.7;157.3;151.6;150.4;150.8;155.0;160.4;150.2;145.0;152.4;142.9;157.3;144.9;150.5;147.7;151.9;159.8;142.4;157.2;169.3;148.8;157.7;156.5
m60-north,400,94.1;101.5;102.3;107.2;103.7;104.7;105.2;105.8;109.0;108.1;106.3;113.4;111.6;111.0;109.8;111.5;113.6;114.8;117.2;120.2;122.6;122.9;122.4;121.7;121.1;121.1;121.7;122.0;122.1;123.6;124.1;124.2;122.4;122.9;125.2;124.8;125.3;125.2;127.0;127.1;126.5;126.6;128.7;128.4;129.5;127.0;130.1;129.3;133.4;126.0;134.5;138.6;134.0;140.7;138.0;136.6;136.8;138.0;139.9;134.1;139.3;139.1;138.7;139.5;138.4;137.7;140.4;133.6;142.8;141.5;140.9;145.1;149.5;144.9;143.7;149.5;146.0;145.6;145.8;144.7;142.1;141.0;150.1;146.0;148.6;147.6;157.6;151.0;150.5;150.4;158.0;151.1;159.7;157.1;153.5;163.1;153.5;154.1;153.0;151.6;156.1;152.9;163.1;151.1;153.7;153.3;152.9;163.6;152.2;163.0;164.0;152.6;152.9;166.3;154.2;149.3;170.8;158.4;157.7;162.4;161.8;174.9;170.8;161.3;158.2;172.9;168.5;158.6;155.9;163.6;178.5;164.2;178.4;158.0;156.3;170.5;157.5;169.2;163.3;165.5;183.4;156.0;182.8;154.6;160.0;153.1;151.8;166.2;152.9;166.8;164.8;147.1;150.3;183.9;156.2;161.6;165.7;148.4;146.1;161.0;208.3;179.8;210.6;209.1;195.1;189.5;200.8;174.9;196.8
m60-north,500,98.2;102.5;108.0;112.2;107.3;111.4;110.4;112.1;111.0;116.6;114.1;116.2;117.7;120.1;119.7;120.5;119.1;120.5;120.2;121.7;122.5;127.9;128.3;127.2;127.5;129.0;129.2;127.9;131.6;130.5;130.7;133.7;129.6;135.4;134.3;135.5;135.0;132.1;143.3;140.7;137.4;144.2;142.8;138.1;142.8;142.9;142.6;143.6;136.2;144.3;143.1;143.7;144.2;140.9;143.6;144.9;140.4;144.2;140.4;144.6;149.4;146.4;142.0;146.4;150.2;148.5;145.4;149.2;149.2;155.3;147.3;153.3;158.1;152.8;153.8;152.9;162.3;157.8;157.0;148.4;156.1;162.3;160.6;154.6;154.2;150.9;160.4;153.2;153.5;150.6;156.1;161.6;170.4;156.7;161.0;163.4;149.9;154.2;153.1;163.3;152.9;151.6;160.0;176.4;179.3;168.9;153.2;168.1;152.2;151.5;149.7;173.7;154.1;172.3;154.4;185.4;162.2;172.9;155.1;186.9;148.5;167.4;173.6;155.1;166.5;154.3;166.7;153.9;158.5;152.2;156.9;175.0;156.5;194.7;155.8;151.6;171.5;156.4;176.5;173.4;199.5;157.3;174.0;156.0;202.5;161.6;175.7;149.6;203.0;201.4;160.3;187.0;154.6;203.5;201.8;150.7;207.4;181.8;154.3;188.1;162.1;188.4;155.8;151.7;151.2;193.7;220.0;164.5;198.8;192.1;223.0;198.5;195.7;224.0;168.8;165.1;162.8;158.3;188.8;186.4;155.8;171.3;202.7;167.4;229.9;163.2;201.4;195.8;180.3;164.6;156.9;230.0;147.9;170.2;187.4;162.3;194.8;147.9;195.7;159.5;228.7;228.1;207.1;229.0;222.2;220.2;219.9
m60-north,600,97.9;100.4;100.8;103.9;103.3;108.9;112.9;109.0;115.0;110.4;112.2;111.1;116.7;115.7;114.0;114.8;111.2;116.8;120.5;114.2;118.7;124.1;122.9;125.3;119.0;124.8;126.2;125.3;126.0;123.0;127.4;128.8;130.6;131.9;132.7;132.6;129.1;128.0;131.8;133.2;131.3;132.4;136.1;137.0;138.8;140.3;134.5;137.0;143.8;143.0;133.8;143.2;142.7;143.9;143.3;135.4;145.3;144.5;144.6;134.5;145.5;146.0;144.9;141.5;142.1;146.3;137.7;146.6;148.6;137.8;151.3;146.9;147.7;153.2;143.3;148.0;155.1;148.4;157.7;148.9;151.8;157.0;160.1;158.4;144.1;148.4;151.5;148.2;147.8;152.2;151.0;160.3;148.6;154.0;149.7;150.2;145.9;151.0;153.9;175.5;149.0;148.3;147.7;168.9;147.3;168.0;181.9;146.2;170.0;152.0;150.3;175.6;149.6;174.9;175.1;153.0;155.7;195.4;179.2;194.7;153.8;176.4;188.2;195.2;180.4;153.7;153.2;151.8;196.5;151.8;181.7;184.0;149.8;184.8;153.3;189.0;187.8;164.7;205.7;187.2;154.8;205.1;195.1;161.6;155.1;153.6;188.5;187.7;208.4;194.0;157.3;192.9;208.8;199.5;155.8;190.7;207.6;152.9;151.2;195.0;192.2;151.8;151.3;190.5;175.2;194.6;149.9;195.9;206.6;196.2;152.2;199.5;201.5;152.5;188.3;149.9;205.2;153.0;204.6;151.9;159.0;207.3;226.8;191.6;153.2;226.8;155.6;225.3;211.1;210.4;157.6;158.1;189.6;235.7;158.6;157.9;186.6;217.4;207.8;207.0;156.7;219.0;211.7;215.6;234.9;210.2;208.4;205.7;246.7;242.8;189.2;214.4;242.8;212.0;186.3;165.7;224.8;164.5;223.5;243.2;163.2;242.7;213.9;224.9;223.6;163.6;158.7;162.3;223.7;219.8;240.6;224.2;154.4;160.7;158.6;228.6;225.5;156.4;154.4;216.3;226.1;222.9;215.7;224.5;223.1;215.3;218.8;214.4;224.0;212.7;218.7;215.0;216.3;211.5;205.6;216.1;240.2;212.8;213.5;219.4;217.7;209.6;237.1;141.7;210.7;236.3;146.8;212.9;234.6;154.0;219.5;225.6
m60-north,700,88.5;90.1;92.8;104.5;101.6;104.0;101.6;105.6;109.1;104.4;104.9;111.5;108.3;112.8;109.3;111.5;113.3;108.0;112.9;114.6;117.7;116.8;118.6;118.9;119.9;120.3;121.0;123.7;123.0;123.0;124.6;124.0;125.4;127.3;125.9;126.7;126.5;128.8;126.0;130.9;127.3;131.6;128.8;131.7;132.4;133.2;135.3;130.3;134.4;137.0;134.6;139.2;134.3;140.3;140.3;136.3;142.4;142.8;137.2;141.7;138.9;138.1;142.5;136.9;140.7;141.6;141.9;142.5;141.8;145.9;150.5;151.4;145.1;147.4;144.7;143.0;146.9;154.4;143.6;142.8;148.1;148.4;158.4;155.8;155.7;162.0;153.9;150.1;162.1;152.4;154.4;168.2;155.6;163.8;160.6;161.0;170.3;157.7;159.1;157.1;148.2;163.0;169.0;173.1;159.5;157.3;156.5;158.9;169.4;156.5;155.1;152.6;159.2;172.7;153.7;172.1;160.4;152.5;149.4;155.6;151.9;160.9;158.1;175.3;170.7;162.3;156.8;178.3;162.9;156.1;155.3;180.3;155.1;164.0;154.4;180.8;162.7;153.8;162.5;153.8;181.3;154.2;163.2;180.9;153.6;183.3;166.4;166.0;185.3;156.3;166.6;155.2;154.2;156.8;156.3;190.7;196.5;172.8;156.1;155.4;197.8;155.1;155.5;174.9;195.9;175.6;157.6;175.3;174.5;156.4;153.2;156.0;172.6;176.2;200.2;176.8;156.0;207.9;155.2;154.6;209.1;154.3;177.4;153.8;176.0;179.6;206.9;175.4;179.3;204.0;157.1;153.6;215.1;156.9;154.9;178.7;156.9;178.2;156.1;152.4;154.8;179.4;152.8;177.8;181.8;181.0;218.9;157.1;219.6;180.3;226.2;157.7;180.6;157.3;182.7;181.3;160.2;176.8;180.5;159.6;151.7;159.7;158.0;157.3;156.7;178.6;149.5;178.2;154.2;153.4;233.3;227.1;176.8;233.7;152.1;146.6;151.4;177.5;176.1;150.5;225.5;149.4;148.5;233.8;243.3;151.8;235.5;150.8;237.7;237.6;185.6;189.5;189.1;153.8;254.7;156.7;150.5;185.7;154.1;150.8;188.6;194.3;250.6;190.3;156.3;156.8;188.2;193.0;156.1;251.5;185.2;256.4;250.2;252.1;190.0;185.0;246.1;239.1;188.0;236.9;226.4;189.7;238.0;226.9;221.3;225.3;274.4;181.4;221.4;214.9;180.8;178.6;173.2;181.1;205.1;270.6;181.3;199.4;177.2;190.8;176.0;156.8;184.5;177.9;275.9;188.3;166.0;156.8;278.2;275.1;183.6;187.8;212.3;274.6;264.2;272.2;197.1;262.8;252.6;249.7;273.6;209.9;248.6;244.1;242.8;238.9
m60-north,800,90.8;91.7;91.0;101.4;103.4;102.0;114.4;110.5;110.3;112.6;117.6;116.1;115.9;116.4;119.2;121.5;121.6;125.3;126.8;127.0;127.5;128.5;126.2;127.6;129.2;126.5;128.5;129.2;131.1;130.2;130.5;129.9;132.3;131.3;133.3;133.1;133.1;132.2;135.1;128.0;135.4;135.4;133.4;135.4;134.1;137.6;145.9;144.5;142.3;137.5;135.8;144.9;136.0;152.6;152.1;145.5;156.0;151.1;145.9;150.4;154.4;150.4;150.3;145.2;151.2;164.8;153.5;152.3;153.3;162.6;161.1;149.4;150.5;150.4;153.9;153.4;169.9;153.2;161.8;152.5;160.8;175.1;173.8;162.5;156.6;156.1;154.2;161.3;175.6;153.1;159.4;173.1;155.2;179.9;152.6;163.2;170.7;181.7;157.2;156.8;167.7;156.2;163.1;184.3;157.3;156.3;181.7;153.5;155.3;187.7;159.5;164.4;175.7;157.9;157.7;155.9;158.5;158.1;156.8;199.1;162.8;162.4;161.6;161.0;200.1;160.9;215.0;160.4;160.2;159.4;197.0;219.5;153.4;159.0;197.5;196.0;158.4;220.3;158.1;194.5;155.7;221.6;206.6;195.1;156.3;195.4;224.5;196.2;158.2;158.2;198.9;195.4;157.9;192.6;198.2;212.7;156.2;158.6;213.0;153.5;195.5;194.4;235.7;153.2;155.9;199.8;221.9;220.5;200.5;155.3;154.2;201.7;240.7;155.9;154.5;205.0;228.6;204.5;201.3;203.4;229.0;251.9;206.9;160.1;160.0;208.9;159.5;207.9;206.4;158.7;157.1;236.8;161.5;209.3;160.8;160.5;161.8;241.9;218.3;162.0;264.3;158.6;160.8;241.5;159.8;242.8;160.1;206.9;158.2;222.7;222.1;158.7;243.4;221.3;158.4;157.9;219.5;221.9;158.5;245.8;222.1;159.4;157.9;221.5;157.0;207.1;245.6;220.0;219.8;251.7;219.4;216.3;219.1;215.7;291.3;258.0;219.5;257.0;250.3;254.3;253.0;248.6;247.6;288.6;220.8;241.7;220.7;242.4;244.4;293.0;228.4;245.0;238.1;234.8;231.7;185.2;231.6;237.1;297.4;192.3;303.1;191.1;234.0;189.8;179.4;238.7;182.4;243.6;189.1;188.0;209.2;311.7;247.9;204.6;218.9;186.2;223.0;315.3;248.4;229.4;310.8;248.1;188.5;237.1;202.7;257.5;188.7;255.2;179.3;256.3;180.2;249.4;256.5;187.7;255.9;179.2;194.1;160.8;252.8;257.9;161.9;316.8;161.4;256.1;253.0;182.6;255.3;191.9;253.0;158.9;158.0;150.8;255.8;248.7;165.3;258.9;172.5;304.3;258.3;159.3;317.3;309.5;155.6;256.9;178.3;152.0;155.8;256.1;143.9;146.7;162.5;142.7;172.6;255.8;141.2;299.6;313.9;145.8;311.4;260.2;274.0;298.7;294.1;304.7;165.7
m60-north,900,95.0;95.3;99.6;101.7;102.4;102.7;103.7;106.7;109.7;112.1;109.6;110.8;115.8;114.4;120.2;116.2;119.5;120.8;118.7;122.2;123.5;125.4;124.5;125.9;125.1;126.6;123.4;122.5;127.1;126.6;130.1;127.7;129.0;125.4;130.1;129.8;130.1;130.9;129.9;134.3;130.4;134.4;127.0;129.4;135.5;136.4;134.9;132.9;132.4;143.3;140.2;143.4;141.5;144.0;134.7;143.3;146.0;143.9;144.9;137.3;139.4;147.4;145.3;146.1;152.6;142.8;149.7;148.7;157.4;151.1;156.7;159.7;150.8;151.2;151.4;151.8;163.7;157.3;152.4;151.1;153.1;164.2;148.5;151.8;159.1;165.3;153.1;152.8;153.3;165.7;152.2;153.6;162.8;153.6;154.3;157.6;156.2;169.5;173.1;156.8;157.7;157.3;157.5;157.8;175.4;156.9;176.0;156.3;177.8;155.9;175.1;154.2;154.7;163.0;156.1;159.9;186.1;155.2;167.9;183.8;154.7;184.2;163.4;152.2;153.0;188.4;166.5;151.1;189.0;152.1;155.2;183.7;151.6;153.5;151.8;151.9;197.7;149.0;180.5;151.0;147.8;174.0;154.4;150.5;211.5;187.4;208.1;154.8;153.3;216.4;197.3;193.6;156.0;156.5;155.5;198.7;192.4;154.4;184.3;154.3;204.1;153.5;157.4;150.4;194.2;152.8;212.2;217.3;153.6;234.9;214.3;153.0;209.3;189.3;235.5;208.4;152.3;235.9;153.8;152.3;238.8;153.2;213.1;152.5;238.9;152.2;216.3;196.1;244.0;216.8;157.3;156.7;156.5;223.5;156.0;155.3;215.3;243.3;156.8;155.1;220.3;250.8;223.8;251.5;153.7;256.6;228.4;162.2;160.6;211.0;158.8;211.1;213.1;237.9;160.3;213.2;235.8;164.3;166.2;249.1;165.3;276.2;162.5;165.3;249.7;160.2;246.7;251.7;158.8;277.2;247.7;159.0;257.1;164.4;286.0;260.9;285.3;248.6;164.7;261.1;263.0;287.7;284.5;250.4;247.0;261.6;167.6;165.2;262.2;286.4;244.0;247.0;258.7;289.0;286.6;224.9;261.8;229.9;242.3;285.2;249.4;215.7;225.1;242.1;264.0;224.4;223.0;249.1;267.7;259.7;248.9;268.7;245.4;267.9;243.1;291.7;259.0;269.2;248.3;269.0;177.3;292.1;161.3;168.1;295.7;157.0;275.2;162.7;166.9;159.7;161.8;274.3;156.0;298.1;268.5;277.0;276.3;158.7;295.9;158.2;295.1;262.5;158.5;168.8;153.2;276.9;270.5;162.8;275.3;260.4;166.0;153.6;255.5;150.1;156.4;263.0;150.2;156.1;148.5;261.3;147.6;153.9;148.9;148.0;294.3;153.3;147.9;155.6;201.6;201.8;200.7;199.9;194.1;146.5;145.1;205.2;202.2;157.8;195.8;203.5;167.1;143.4;135.9;142.2;142.0;193.1;196.9;135.3;197.0;162.3;127.3;194.4;189.3;166.9;131.6;138.0;189.5;173.9;187.3;144.9;127.5;122.4;126.1;115.9;121.3;125.6;125.3;118.6;123.9;122.5;116.2;115.3;126.4;119.6;120.1;118.7
m60-north,1000,91.8;93.2;101.6;99.7;102.5;104.2;113.9;108.3;112.1;112.7;110.4;110.3;112.7;111.1;114.3;113.0;115.4;115.5;118.2;118.2;120.9;120.9;122.3;121.2;121.6;127.6;128.9;132.2;133.5;131.3;133.1;133.4;134.0;132.6;135.6;135.8;136.3;136.0;136.8;137.4;133.3;137.5;136.3;135.0;140.6;143.0;142.7;142.3;138.9;141.5;141.9;132.4;142.4;142.2;141.7;141.8;146.8;146.2;154.2;151.8;143.4;148.6;152.1;151.7;149.1;138.9;146.8;150.2;149.8;150.4;149.9;160.8;147.1;150.4;150.5;166.2;172.2;160.4;157.2;175.0;159.7;156.6;165.7;164.7;156.3;176.9;151.0;153.2;155.7;175.9;152.3;162.6;151.5;178.1;167.8;174.2;185.0;159.3;159.5;158.9;157.1;171.9;176.5;155.0;175.1;157.7;186.6;155.5;155.0;190.4;172.4;187.4;189.5;165.6;154.2;162.5;164.4;160.7;186.2;161.0;160.2;157.6;156.9;189.1;159.1;158.6;158.5;153.1;154.8;197.3;156.5;155.9;156.5;152.6;206.2;201.3;156.0;154.7;225.3;154.4;229.1;204.6;183.8;231.1;157.6;206.3;230.8;157.4;217.4;230.9;229.8;159.5;208.7;158.6;208.0;218.1;233.4;159.7;215.0;241.2;214.6;163.1;162.5;214.9;161.6;214.2;161.0;243.1;244.7;229.7;158.8;207.7;210.5;158.2;207.3;226.4;157.5;228.8;158.2;157.7;207.2;157.0;251.4;156.6;155.5;156.5;209.1;155.5;254.4;154.8;209.5;154.2;209.3;204.7;153.9;207.7;155.7;246.3;161.2;164.0;161.3;271.9;217.7;161.3;210.5;220.4;273.3;250.8;161.5;160.8;217.4;272.2;216.2;220.7;255.5;162.3;161.7;218.5;161.4;160.1;278.1;219.6;158.2;219.3;157.9;258.5;157.8;219.8;156.9;160.9;225.9;161.9;229.0;291.9;166.2;229.0;165.5;228.4;164.8;227.9;224.2;227.2;164.5;223.6;163.8;160.1;163.0;157.6;224.1;154.0;158.4;227.7;156.0;227.3;153.4;161.3;152.5;150.5;158.8;161.7;156.1;226.0;230.0;151.4;150.4;156.5;252.4;231.0;246.0;250.2;230.7;151.0;228.7;243.5;248.5;148.4;160.0;242.5;151.4;159.4;241.9;158.6;241.5;156.9;238.7;150.9;323.4;153.3;236.4;318.8;237.2;151.1;151.3;238.9;225.6;236.7;154.5;154.5;238.3;333.1;153.3;238.7;148.5;152.6;238.8;148.1;150.9;337.1;237.9;243.5;235.8;156.5;241.7;342.1;157.4;154.8;153.3;341.2;347.0;240.8;243.5;154.0;157.8;348.8;156.9;242.4;241.9;232.2;239.7;154.3;243.6;155.1;154.8;240.9;154.2;240.3;154.1;156.3;235.5;241.1;154.5;240.8;230.1;240.5;361.9;156.8;238.7;159.4;235.0;159.9;158.6;158.5;157.9;157.2;156.5;156.1;155.8;258.1;361.7;153.5;356.3;260.6;336.6;252.7;224.3;253.1;289.0;383.7;386.3;374.5;282.8;383.0;381.5;267.9;275.9;261.9;382.3;372.9;367.7;256.1;372.4;209.1;249.3;368.1;212.4;366.7;367.5;365.5;189.2;205.6;365.4;361.5;364.5;189.6;229.7;357.8;201.1;356.9;349.9;181.0;352.2;169.3;356.9;154.4;152.8;220.0;347.9;150.6;145.0;349.8;347.2;345.2;187.7;278.9;342.2;153.6;340.1;145.9;337.2;162.0;144.6;335.4;206.4;332.5;317.2;326.1;149.2;146.4;131.1;296.5;138.8;157.4;140.1;286.6;161.4;279.3;137.7;153.2;165.3
